Participant,TE,Model,BIC
43,3,5,-10473.5882400558
43,4,5,-10473.5882400558
44,1,1,368.876996734502
44,2,1,368.876996734502
44,3,1,368.876996734502
44,4,1,368.876996734502
44,1,2,364.461486562295
44,2,2,364.461486562295
44,3,2,364.461486562295
44,4,2,364.461486562295
44,1,3,369.001282754431
44,2,3,369.001282754431
44,3,3,369.001282754431
44,4,3,369.001282754431
44,1,4,364.116092527501
44,2,4,364.116092527501
44,3,4,364.116092527501
44,4,4,364.116092527501
44,1,5,371.243306348877
44,2,5,371.243306348877
44,3,5,371.243306348877
44,4,5,371.243306348877
45,1,1,-9371.71082148857
45,2,1,-9371.71082148857
45,3,1,-9371.71082148857
45,4,1,-9371.71082148857
45,1,2,-9429.95205980984
45,2,2,-9429.95205980984
45,3,2,-9429.95205980984
45,4,2,-9429.95205980984
45,1,3,-9352.54399469888
45,2,3,-9352.54399469888
45,3,3,-9352.54399469888
45,4,3,-9352.54399469888
45,1,4,-9448.22804912495
45,2,4,-9448.22804912495
45,3,4,-9448.22804912495
45,4,4,-9448.22804912495
45,1,5,-9370.53490236766
45,2,5,-9370.53490236766
45,3,5,-9370.53490236766
45,4,5,-9370.53490236766
46,1,1,-4763.98868964115
46,2,1,-4763.98868964115
46,3,1,-4763.98868964115
46,4,1,-4763.98868964115
46,1,2,-4730.60937601025
46,2,2,-4730.60937601025
46,3,2,-4730.60937601025
46,4,2,-4730.60937601025
46,1,3,-4763.8401730258
46,2,3,-4763.8401730258
46,3,3,-4763.8401730258
46,4,3,-4763.8401730258
46,1,4,-4755.14521767518
46,2,4,-4755.14521767518
46,3,4,-4755.14521767518
46,4,4,-4755.14521767518
46,1,5,-4601.69760503813
46,2,5,-4601.69760503813
46,3,5,-4601.69760503813
46,4,5,-4601.69760503813
47,1,1,-7759.0840345667
47,2,1,-7759.0840345667
47,3,1,-7759.0840345667
47,4,1,-7759.0840345667
47,1,2,-7889.44937452855
47,2,2,-7889.44937452855
47,3,2,-7889.44937452855
47,4,2,-7889.44937452855
47,1,3,-7759.99013532367
47,2,3,-7759.99013532367
47,3,3,-7759.99013532367
47,4,3,-7759.99013532367
47,1,4,-7931.39710663714
47,2,4,-7931.39710663714
47,3,4,-7931.39710663714
47,4,4,-7931.39710663714
47,1,5,-7803.81065219648
47,2,5,-7803.81065219648
47,3,5,-7803.81065219648
47,4,5,-7803.81065219648
48,1,1,-9452.26517182201
48,2,1,-9452.26517182201
48,3,1,-9452.26517182201
48,4,1,-9452.26517182201
48,1,2,-9670.7259093448
48,2,2,-9670.7259093448
48,3,2,-9670.7259093448
48,4,2,-9670.7259093448
48,1,3,-9433.27179825613
48,2,3,-9433.27179825613
48,3,3,-9433.27179825613
48,4,3,-9433.27179825613
48,1,4,-9776.18497188414
48,2,4,-9776.18497188414
48,3,4,-9776.18497188414
48,4,4,-9776.18497188414
48,1,5,-9434.49759907324
48,2,5,-9434.49759907324
48,3,5,-9434.49759907324
48,4,5,-9434.49759907324
49,1,1,-4395.63931645742
49,2,1,-4395.63931645742
49,3,1,-4395.63931645742
49,4,1,-4395.63931645742
49,1,2,-4499.68842901855
49,2,2,-4499.68842901855
49,3,2,-4499.68842901855
49,4,2,-4499.68842901855
49,1,3,-4410.29481992817
49,2,3,-4410.29481992817
49,3,3,-4410.29481992817
49,4,3,-4410.29481992817
49,1,4,-4538.97346597844
49,2,4,-4538.97346597844
49,3,4,-4538.97346597844
49,4,4,-4538.97346597844
49,1,5,-4480.27385036023
49,2,5,-4480.27385036023
49,3,5,-4480.27385036023
49,4,5,-4480.27385036023
4,1,1,-1680.19802567856
4,2,1,-1680.19802567856
4,3,1,-1680.19802567856
4,4,1,-1680.19802567856
4,1,2,-1651.94970049636
4,2,2,-1651.94970049636
4,3,2,-1651.94970049636
4,4,2,-1651.94970049636
4,1,3,-1673.4698812274
4,2,3,-1673.4698812274
4,3,3,-1673.4698812274
4,4,3,-1673.4698812274
4,1,4,-1652.11364449599
4,2,4,-1652.11364449599
4,3,4,-1652.11364449599
4,4,4,-1652.11364449599
4,1,5,-1701.52491959117
4,2,5,-1701.52491959117
4,3,5,-1701.52491959117
4,4,5,-1701.52491959117
50,1,1,-4783.20011047603
50,2,1,-4783.20011047603
50,3,1,-4783.20011047603
50,4,1,-4783.20011047603
50,1,2,-4756.84107862195
50,2,2,-4756.84107862195
50,3,2,-4756.84107862195
50,4,2,-4756.84107862195
50,1,3,-4781.77815574838
50,2,3,-4781.77815574838
50,3,3,-4781.77815574838
50,4,3,-4781.77815574838
50,1,4,-4780.15536445379
50,2,4,-4780.15536445379
50,3,4,-4780.15536445379
50,4,4,-4780.15536445379
50,1,5,-4788.87692074889
50,2,5,-4788.87692074889
50,3,5,-4788.87692074889
50,4,5,-4788.87692074889
51,1,1,-5053.36007466711
51,2,1,-5053.36007466711
51,3,1,-5053.36007466711
51,4,1,-5053.36007466711
51,1,2,-5040.21624809583
51,2,2,-5040.21624809583
51,3,2,-5040.21624809583
51,4,2,-5040.21624809583
51,1,3,-5050.93920759347
51,2,3,-5050.93920759347
51,3,3,-5050.93920759347
51,4,3,-5050.93920759347
51,1,4,-5092.04767867829
51,2,4,-5092.04767867829
51,3,4,-5092.04767867829
51,4,4,-5092.04767867829
51,1,5,-5079.41650693935
51,2,5,-5079.41650693935
51,3,5,-5079.41650693935
51,4,5,-5079.41650693935
52,1,1,-7948.53420827296
52,2,1,-7948.53420827296
52,3,1,-7948.53420827296
52,4,1,-7948.53420827296
52,1,2,-7934.84713647602
52,2,2,-7934.84713647602
52,3,2,-7934.84713647602
52,4,2,-7934.84713647602
52,1,3,-7939.50286084025
52,2,3,-7939.50286084025
52,3,3,-7939.50286084025
52,4,3,-7939.50286084025
52,1,4,-8034.68077770784
52,2,4,-8034.68077770784
52,3,4,-8034.68077770784
52,4,4,-8034.68077770784
52,1,5,-7962.32783161936
52,2,5,-7962.32783161936
52,3,5,-7962.32783161936
52,4,5,-7962.32783161936
53,1,1,-2687.56479805855
53,2,1,-2687.56479805855
53,3,1,-2687.56479805855
53,4,1,-2687.56479805855
53,1,2,-2595.69916442862
53,2,2,-2595.69916442862
53,3,2,-2595.69916442862
53,4,2,-2595.69916442862
53,1,3,-2670.68015998495
53,2,3,-2670.68015998495
53,3,3,-2670.68015998495
53,4,3,-2670.68015998495
53,1,4,-2612.04030084038
53,2,4,-2612.04030084038
53,3,4,-2612.04030084038
53,4,4,-2612.04030084038
53,1,5,-2712.12717491994
53,2,5,-2712.12717491994
53,3,5,-2712.12717491994
53,4,5,-2712.12717491994
54,1,1,-7796.29475278499
54,2,1,-7796.29475278499
54,3,1,-7796.29475278499
54,4,1,-7796.29475278499
54,1,2,-7961.42568930438
54,2,2,-7961.42568930438
54,3,2,-7961.42568930438
54,4,2,-7961.42568930438
54,1,3,-7800.28631997678
54,2,3,-7800.28631997678
54,3,3,-7800.28631997678
54,4,3,-7800.28631997678
54,1,4,-8123.27784135752
54,2,4,-8123.27784135752
54,3,4,-8123.27784135752
54,4,4,-8123.27784135752
54,1,5,-7775.9390305258
54,2,5,-7775.9390305258
54,3,5,-7775.9390305258
54,4,5,-7775.9390305258
55,1,1,-4510.45096311637
55,2,1,-4510.45096311637
55,3,1,-4510.45096311637
55,4,1,-4510.45096311637
55,1,2,-4634.28022350697
55,2,2,-4634.28022350697
55,3,2,-4634.28022350697
55,4,2,-4634.28022350697
55,1,3,-4503.77770706588
55,2,3,-4503.77770706588
55,3,3,-4503.77770706588
55,4,3,-4503.77770706588
55,1,4,-4673.61588094308
55,2,4,-4673.61588094308
55,3,4,-4673.61588094308
55,4,4,-4673.61588094308
55,1,5,-4498.63723791855
55,2,5,-4498.63723791855
55,3,5,-4498.63723791855
55,4,5,-4498.63723791855
56,1,1,-7245.97387660949
56,2,1,-7245.97387660949
56,3,1,-7245.97387660949
56,4,1,-7245.97387660949
56,1,2,-7222.33178530158
56,2,2,-7222.33178530158
56,3,2,-7222.33178530158
56,4,2,-7222.33178530158
56,1,3,-7252.54218697613
56,2,3,-7252.54218697613
56,3,3,-7252.54218697613
56,4,3,-7252.54218697613
56,1,4,-7240.74486040416
56,2,4,-7240.74486040416
56,3,4,-7240.74486040416
56,4,4,-7240.74486040416
56,1,5,-7282.31010114072
56,2,5,-7282.31010114072
56,3,5,-7282.31010114072
56,4,5,-7282.31010114072
57,1,1,-5415.19616756876
57,2,1,-5415.19616756876
57,3,1,-5415.19616756876
57,4,1,-5415.19616756876
57,1,2,-5625.57340507129
57,2,2,-5625.57340507129
57,3,2,-5625.57340507129
57,4,2,-5625.57340507129
57,1,3,-5403.82459883099
57,2,3,-5403.82459883099
57,3,3,-5403.82459883099
57,4,3,-5403.82459883099
57,1,4,-5705.73363569504
57,2,4,-5705.73363569504
57,3,4,-5705.73363569504
57,4,4,-5705.73363569504
57,1,5,-5399.26571613656
57,2,5,-5399.26571613656
57,3,5,-5399.26571613656
57,4,5,-5399.26571613656
58,1,1,-6293.39265998449
58,2,1,-6293.39265998449
58,3,1,-6293.39265998449
58,4,1,-6293.39265998449
58,1,2,-6483.32528016822
58,2,2,-6483.32528016822
58,3,2,-6483.32528016822
58,4,2,-6483.32528016822
58,1,3,-6301.28949984328
58,2,3,-6301.28949984328
58,3,3,-6301.28949984328
58,4,3,-6301.28949984328
58,1,4,-6510.76344740333
58,2,4,-6510.76344740333
58,3,4,-6510.76344740333
58,4,4,-6510.76344740333
58,1,5,-6247.76846344757
58,2,5,-6247.76846344757
58,3,5,-6247.76846344757
58,4,5,-6247.76846344757
59,1,1,-4814.10245384759
59,2,1,-4814.10245384759
59,3,1,-4814.10245384759
59,4,1,-4814.10245384759
59,1,2,-4898.42392681922
59,2,2,-4898.42392681922
59,3,2,-4898.42392681922
59,4,2,-4898.42392681922
59,1,3,-4806.44911500461
59,2,3,-4806.44911500461
59,3,3,-4806.44911500461
59,4,3,-4806.44911500461
59,1,4,-4956.18322344312
59,2,4,-4956.18322344312
59,3,4,-4956.18322344312
59,4,4,-4956.18322344312
59,1,5,-4818.75849034723
59,2,5,-4818.75849034723
59,3,5,-4818.75849034723
59,4,5,-4818.75849034723
5,1,1,-7388.35296055458
5,2,1,-7388.35296055458
5,3,1,-7388.35296055458
5,4,1,-7388.35296055458
5,1,2,-7521.04519681413
5,2,2,-7521.04519681413
5,3,2,-7521.04519681413
5,4,2,-7521.04519681413
5,1,3,-7379.8871150191
5,2,3,-7379.8871150191
5,3,3,-7379.8871150191
5,4,3,-7379.8871150191
5,1,4,-7529.79668984248
5,2,4,-7529.79668984248
5,3,4,-7529.79668984248
5,4,4,-7529.79668984248
5,1,5,-7407.211829274
5,2,5,-7407.211829274
5,3,5,-7407.211829274
5,4,5,-7407.211829274
60,1,1,-3711.6339335112
60,2,1,-3711.6339335112
60,3,1,-3711.6339335112
60,4,1,-3711.6339335112
60,1,2,-3776.75711491868
60,2,2,-3776.75711491868
60,3,2,-3776.75711491868
60,4,2,-3776.75711491868
60,1,3,-3703.90461962798
60,2,3,-3703.90461962798
60,3,3,-3703.90461962798
60,4,3,-3703.90461962798
60,1,4,-3764.65998456026
60,2,4,-3764.65998456026
60,3,4,-3764.65998456026
60,4,4,-3764.65998456026
60,1,5,-3699.53002991234
60,2,5,-3699.53002991234
60,3,5,-3699.53002991234
60,4,5,-3699.53002991234
61,1,1,-6205.99165010454
61,2,1,-6205.99165010454
61,3,1,-6205.99165010454
61,4,1,-6205.99165010454
61,1,2,-6267.49938798675
61,2,2,-6267.49938798675
61,3,2,-6267.49938798675
61,4,2,-6267.49938798675
61,1,3,-6179.92704342535
61,2,3,-6179.92704342535
61,3,3,-6179.92704342535
61,4,3,-6179.92704342535
61,1,4,-6281.64142482839
61,2,4,-6281.64142482839
61,3,4,-6281.64142482839
61,4,4,-6281.64142482839
61,1,5,-6176.46998017724
61,2,5,-6176.46998017724
61,3,5,-6176.46998017724
61,4,5,-6176.46998017724
62,1,1,-6429.65322177608
62,2,1,-6429.65322177608
62,3,1,-6429.65322177608
62,4,1,-6429.65322177608
62,1,2,-6883.70551845665
62,2,2,-6883.70551845665
62,3,2,-6883.70551845665
62,4,2,-6883.70551845665
62,1,3,-6432.23850903711
62,2,3,-6432.23850903711
62,3,3,-6432.23850903711
62,4,3,-6432.23850903711
62,1,4,-6959.92370221683
62,2,4,-6959.92370221683
62,3,4,-6959.92370221683
62,4,4,-6959.92370221683
62,1,5,-6423.00538241775
62,2,5,-6423.00538241775
62,3,5,-6423.00538241775
62,4,5,-6423.00538241775
63,1,1,-7651.66684521508
63,2,1,-7651.66684521508
63,3,1,-7651.66684521508
63,4,1,-7651.66684521508
63,1,2,-7846.33712668897
63,2,2,-7846.33712668897
63,3,2,-7846.33712668897
63,4,2,-7846.33712668897
63,1,3,-7614.41091090843
63,2,3,-7614.41091090843
63,3,3,-7614.41091090843
63,4,3,-7614.41091090843
63,1,4,-7877.79048962343
63,2,4,-7877.79048962343
63,3,4,-7877.79048962343
63,4,4,-7877.79048962343
63,1,5,-7624.79015442315
63,2,5,-7624.79015442315
63,3,5,-7624.79015442315
63,4,5,-7624.79015442315
64,1,1,-8801.10461413895
64,2,1,-8801.10461413895
64,3,1,-8801.10461413895
64,4,1,-8801.10461413895
64,1,2,-8947.20899446528
64,2,2,-8947.20899446528
64,3,2,-8947.20899446528
64,4,2,-8947.20899446528
64,1,3,-8805.40850379785
64,2,3,-8805.40850379785
64,3,3,-8805.40850379785
64,4,3,-8805.40850379785
64,1,4,-9010.57426597709
64,2,4,-9010.57426597709
64,3,4,-9010.57426597709
64,4,4,-9010.57426597709
64,1,5,-8857.4812530597
64,2,5,-8857.4812530597
64,3,5,-8857.4812530597
64,4,5,-8857.4812530597
65,1,1,-6287.17284145651
65,2,1,-6287.17284145651
65,3,1,-6287.17284145651
65,4,1,-6287.17284145651
65,1,2,-6495.52626360759
65,2,2,-6495.52626360759
65,3,2,-6495.52626360759
65,4,2,-6495.52626360759
65,1,3,-6306.37960055023
65,2,3,-6306.37960055023
65,3,3,-6306.37960055023
65,4,3,-6306.37960055023
65,1,4,-6578.01460729705
65,2,4,-6578.01460729705
65,3,4,-6578.01460729705
65,4,4,-6578.01460729705
65,1,5,-6334.81400863895
65,2,5,-6334.81400863895
65,3,5,-6334.81400863895
65,4,5,-6334.81400863895
66,1,1,-3486.4246162661
66,2,1,-3486.4246162661
66,3,1,-3486.4246162661
66,4,1,-3486.4246162661
66,1,2,-3510.07177384049
66,2,2,-3510.07177384049
66,3,2,-3510.07177384049
66,4,2,-3510.07177384049
66,1,3,-3484.89696201345
66,2,3,-3484.89696201345
66,3,3,-3484.89696201345
66,4,3,-3484.89696201345
66,1,4,-3554.25933596211
66,2,4,-3554.25933596211
66,3,4,-3554.25933596211
66,4,4,-3554.25933596211
66,1,5,-3494.22228714614
66,2,5,-3494.22228714614
66,3,5,-3494.22228714614
66,4,5,-3494.22228714614
67,1,1,-4602.9375542394
67,2,1,-4602.9375542394
67,3,1,-4602.9375542394
67,4,1,-4602.9375542394
67,1,2,-4669.5677728269
67,2,2,-4669.5677728269
67,3,2,-4669.5677728269
67,4,2,-4669.5677728269
67,1,3,-4612.24815238524
67,2,3,-4612.24815238524
67,3,3,-4612.24815238524
67,4,3,-4612.24815238524
67,1,4,-4725.34914029842
67,2,4,-4725.34914029842
67,3,4,-4725.34914029842
67,4,4,-4725.34914029842
67,1,5,-4655.61350751577
67,2,5,-4655.61350751577
67,3,5,-4655.61350751577
67,4,5,-4655.61350751577
68,1,1,-10573.4228287242
68,2,1,-10573.4228287242
68,3,1,-10573.4228287242
68,4,1,-10573.4228287242
68,1,2,-10920.5885001473
68,2,2,-10920.5885001473
68,3,2,-10920.5885001473
68,4,2,-10920.5885001473
68,1,3,-10545.9398898873
68,2,3,-10545.9398898873
68,3,3,-10545.9398898873
68,4,3,-10545.9398898873
68,1,4,-11071.9413005969
68,2,4,-11071.9413005969
68,3,4,-11071.9413005969
68,4,4,-11071.9413005969
68,1,5,-10496.5829228484
68,2,5,-10496.5829228484
68,3,5,-10496.5829228484
68,4,5,-10496.5829228484
69,1,1,-6100.91402099434
69,2,1,-6100.91402099434
69,3,1,-6100.91402099434
69,4,1,-6100.91402099434
69,1,2,-6135.84609770385
69,2,2,-6135.84609770385
69,3,2,-6135.84609770385
69,4,2,-6135.84609770385
69,1,3,-6047.05418925457
69,2,3,-6047.05418925457
69,3,3,-6047.05418925457
69,4,3,-6047.05418925457
69,1,4,-6134.8083877217
69,2,4,-6134.8083877217
69,3,4,-6134.8083877217
69,4,4,-6134.8083877217
69,1,5,-6030.87124934744
69,2,5,-6030.87124934744
69,3,5,-6030.87124934744
69,4,5,-6030.87124934744
6,1,1,213.785038100311
6,2,1,213.785038100311
6,3,1,213.785038100311
6,4,1,213.785038100311
6,1,2,222.14594785975
6,2,2,222.14594785975
6,3,2,222.14594785975
6,4,2,222.14594785975
6,1,3,215.814961155862
6,2,3,215.814961155862
6,3,3,215.814961155862
6,4,3,215.814961155862
6,1,4,227.276212320528
6,2,4,227.276212320528
6,3,4,227.276212320528
6,4,4,227.276212320528
6,1,5,216.582404931982
6,2,5,216.582404931982
6,3,5,216.582404931982
6,4,5,216.582404931982
70,1,1,-3337.89718909371
70,2,1,-3337.89718909371
70,3,1,-3337.89718909371
70,4,1,-3337.89718909371
70,1,2,-3333.59231922865
70,2,2,-3333.59231922865
70,3,2,-3333.59231922865
70,4,2,-3333.59231922865
70,1,3,-3329.50163186036
70,2,3,-3329.50163186036
70,3,3,-3329.50163186036
70,4,3,-3329.50163186036
70,1,4,-3301.90614100465
70,2,4,-3301.90614100465
70,3,4,-3301.90614100465
70,4,4,-3301.90614100465
70,1,5,-3342.61842085519
70,2,5,-3342.61842085519
70,3,5,-3342.61842085519
70,4,5,-3342.61842085519
71,1,1,-6142.90915806063
71,2,1,-6142.90915806063
71,3,1,-6142.90915806063
71,4,1,-6142.90915806063
71,1,2,-6203.95042401074
71,2,2,-6203.95042401074
71,3,2,-6203.95042401074
71,4,2,-6203.95042401074
71,1,3,-6135.51860530152
71,2,3,-6135.51860530152
71,3,3,-6135.51860530152
71,4,3,-6135.51860530152
71,1,4,-6238.93259882353
71,2,4,-6238.93259882353
71,3,4,-6238.93259882353
71,4,4,-6238.93259882353
71,1,5,-6150.07499418164
71,2,5,-6150.07499418164
71,3,5,-6150.07499418164
71,4,5,-6150.07499418164
72,1,1,-9628.31836654044
72,2,1,-9628.31836654044
72,3,1,-9628.31836654044
72,4,1,-9628.31836654044
72,1,2,-9937.78706404377
72,2,2,-9937.78706404377
72,3,2,-9937.78706404377
72,4,2,-9937.78706404377
72,1,3,-9607.32877442829
72,2,3,-9607.32877442829
72,3,3,-9607.32877442829
72,4,3,-9607.32877442829
72,1,4,-10061.0414676105
72,2,4,-10061.0414676105
72,3,4,-10061.0414676105
72,4,4,-10061.0414676105
72,1,5,-9599.23592271313
72,2,5,-9599.23592271313
72,3,5,-9599.23592271313
72,4,5,-9599.23592271313
73,1,1,-5989.65095015756
73,2,1,-5989.65095015756
73,3,1,-5989.65095015756
73,4,1,-5989.65095015756
73,1,2,-6051.22995429974
73,2,2,-6051.22995429974
73,3,2,-6051.22995429974
73,4,2,-6051.22995429974
73,1,3,-5942.3625599519
73,2,3,-5942.3625599519
73,3,3,-5942.3625599519
73,4,3,-5942.3625599519
73,1,4,-6020.65672667678
73,2,4,-6020.65672667678
73,3,4,-6020.65672667678
73,4,4,-6020.65672667678
73,1,5,-5940.63035503766
73,2,5,-5940.63035503766
73,3,5,-5940.63035503766
73,4,5,-5940.63035503766
74,1,1,-4481.62726225041
74,2,1,-4481.62726225041
74,3,1,-4481.62726225041
74,4,1,-4481.62726225041
74,1,2,-4513.83279662863
74,2,2,-4513.83279662863
74,3,2,-4513.83279662863
74,4,2,-4513.83279662863
74,1,3,-4486.32085251827
74,2,3,-4486.32085251827
74,3,3,-4486.32085251827
74,4,3,-4486.32085251827
74,1,4,-4552.37692621067
74,2,4,-4552.37692621067
74,3,4,-4552.37692621067
74,4,4,-4552.37692621067
74,1,5,-4502.7399014445
74,2,5,-4502.7399014445
74,3,5,-4502.7399014445
74,4,5,-4502.7399014445
7,1,1,-2768.39066567944
7,2,1,-2768.39066567944
7,3,1,-2768.39066567944
7,4,1,-2768.39066567944
7,1,2,-2725.45472159678
7,2,2,-2725.45472159678
7,3,2,-2725.45472159678
7,4,2,-2725.45472159678
7,1,3,-2769.3454143643
7,2,3,-2769.3454143643
7,3,3,-2769.3454143643
7,4,3,-2769.3454143643
7,1,4,-2732.80535393029
7,2,4,-2732.80535393029
7,3,4,-2732.80535393029
7,4,4,-2732.80535393029
7,1,5,-2774.84444249131
7,2,5,-2774.84444249131
7,3,5,-2774.84444249131
7,4,5,-2774.84444249131
8,1,1,-2786.33059597385
8,2,1,-2786.33059597385
8,3,1,-2786.33059597385
8,4,1,-2786.33059597385
8,1,2,-2780.54159849901
8,2,2,-2780.54159849901
8,3,2,-2780.54159849901
8,4,2,-2780.54159849901
8,1,3,-2783.34104257038
8,2,3,-2783.34104257038
8,3,3,-2783.34104257038
8,4,3,-2783.34104257038
8,1,4,-2812.31007615113
8,2,4,-2812.31007615113
8,3,4,-2812.31007615113
8,4,4,-2812.31007615113
8,1,5,-2791.56036088809
8,2,5,-2791.56036088809
8,3,5,-2791.56036088809
8,4,5,-2791.56036088809
9,1,1,-7477.9382892801
9,2,1,-7477.9382892801
9,3,1,-7477.9382892801
9,4,1,-7477.9382892801
9,1,2,-7772.86822518657
9,2,2,-7772.86822518657
9,3,2,-7772.86822518657
9,4,2,-7772.86822518657
9,1,3,-7470.02443732836
9,2,3,-7470.02443732836
9,3,3,-7470.02443732836
9,4,3,-7470.02443732836
9,1,4,-7763.98785212554
9,2,4,-7763.98785212554
9,3,4,-7763.98785212554
9,4,4,-7763.98785212554
9,1,5,-7478.67546179365
9,2,5,-7478.67546179365
9,3,5,-7478.67546179365
9,4,5,-7478.67546179365
